,id_estacao,data_medicao,acumulado_chuva_15_min,acumulado_chuva_1_h,acumulado_chuva_4_h,acumulado_chuva_24_h,acumulado_chuva_96_h,acumulado_chuva_30_d,data_particao,primary_key
43,2,2024-03-23 07:45:00,0.0,1.6,1.6,97.2,97.2,97.2,2024-03-23,2_2024-03-23 07:45:00
44,2,2024-03-23 08:00:00,0.0,1.6,1.6,97.2,97.2,97.2,2024-03-23,2_2024-03-23 08:00:00
45,2,2024-03-23 05:30:00,0.0,0.0,0.4,95.6,95.6,95.6,2024-03-23,2_2024-03-23 05:30:00
46,2,2024-03-23 05:45:00,0.0,0.0,0.2,95.6,95.6,95.6,2024-03-23,2_2024-03-23 05:45:00
47,2,2024-03-23 06:00:00,0.0,0.0,0.0,95.6,95.6,95.6,2024-03-23,2_2024-03-23 06:00:00
48,2,2024-03-23 05:15:00,0.0,0.0,0.4,95.6,95.6,95.6,2024-03-23,2_2024-03-23 05:15:00
49,2,2024-03-23 05:00:00,0.0,0.0,0.4,95.6,95.6,95.6,2024-03-23,2_2024-03-23 05:00:00
50,2,2024-03-23 04:15:00,0.0,0.0,1.0,95.6,95.6,95.6,2024-03-23,2_2024-03-23 04:15:00
51,2,2024-03-23 04:30:00,0.0,0.0,0.6,95.6,95.6,95.6,2024-03-23,2_2024-03-23 04:30:00
52,2,2024-03-23 04:45:00,0.0,0.0,0.4,95.6,95.6,95.6,2024-03-23,2_2024-03-23 04:45:00
53,2,2024-03-23 03:45:00,0.0,0.0,3.2,95.6,95.6,95.6,2024-03-23,2_2024-03-23 03:45:00
54,2,2024-03-23 03:15:00,0.0,0.0,5.2,95.6,95.6,95.6,2024-03-23,2_2024-03-23 03:15:00
55,2,2024-03-23 03:30:00,0.0,0.0,3.4,95.6,95.6,95.6,2024-03-23,2_2024-03-23 03:30:00
56,2,2024-03-23 04:00:00,0.0,0.0,2.0,95.6,95.6,95.6,2024-03-23,2_2024-03-23 04:00:00
57,2,2024-03-23 02:15:00,0.0,0.4,8.0,95.6,95.6,95.6,2024-03-23,2_2024-03-23 02:15:00
58,2,2024-03-23 03:00:00,0.0,0.0,6.0,95.6,95.6,95.6,2024-03-23,2_2024-03-23 03:00:00
59,2,2024-03-23 02:30:00,0.0,0.4,8.0,95.6,95.6,95.6,2024-03-23,2_2024-03-23 02:30:00
60,2,2024-03-23 02:45:00,0.0,0.2,6.8,95.6,95.6,95.6,2024-03-23,2_2024-03-23 02:45:00
61,2,2024-03-23 01:30:00,0.0,0.2,10.2,95.2,95.2,95.2,2024-03-23,2_2024-03-23 01:30:00
62,2,2024-03-23 01:45:00,0.2,0.2,9.6,95.4,95.4,95.4,2024-03-23,2_2024-03-23 01:45:00
63,2,2024-03-23 02:00:00,0.2,0.4,8.4,95.6,95.6,95.6,2024-03-23,2_2024-03-23 02:00:00
64,2,2024-03-23 01:15:00,0.0,0.6,11.0,95.2,95.2,95.2,2024-03-23,2_2024-03-23 01:15:00
65,2,2024-03-23 00:15:00,1.0,4.2,28.0,94.6,94.6,94.6,2024-03-23,2_2024-03-23 00:15:00
66,2,2024-03-23 00:30:00,0.4,2.8,23.8,95.0,95.0,95.0,2024-03-23,2_2024-03-23 00:30:00
67,2,2024-03-23 01:00:00,0.0,1.6,15.0,95.2,95.2,95.2,2024-03-23,2_2024-03-23 01:00:00
68,2,2024-03-23 00:00:00,1.2,4.0,31.0,93.6,93.6,93.6,2024-03-23,2_2024-03-23 00:00:00
69,2,2024-03-23 00:45:00,0.2,2.8,19.6,95.2,95.2,95.2,2024-03-23,2_2024-03-23 00:45:00
70,2,2024-03-23 07:00:00,0.0,0.0,0.0,95.6,95.6,95.6,2024-03-23,2_2024-03-23 07:00:00
71,2,2024-03-23 06:45:00,0.0,0.0,0.0,95.6,95.6,95.6,2024-03-23,2_2024-03-23 06:45:00
72,2,2024-03-23 06:15:00,0.0,0.0,0.0,95.6,95.6,95.6,2024-03-23,2_2024-03-23 06:15:00
73,2,2024-03-23 06:30:00,0.0,0.0,0.0,95.6,95.6,95.6,2024-03-23,2_2024-03-23 06:30:00
74,4,2024-03-23 10:00:00,0.0,0.0,0.4,57.4,68.4,68.4,2024-03-23,4_2024-03-23 10:00:00
75,4,2024-03-23 09:45:00,0.0,0.0,0.4,57.4,68.4,68.4,2024-03-23,4_2024-03-23 09:45:00
76,4,2024-03-23 09:15:00,0.0,0.0,0.4,57.4,68.4,68.4,2024-03-23,4_2024-03-23 09:15:00
77,4,2024-03-23 09:30:00,0.0,0.0,0.4,57.4,68.4,68.4,2024-03-23,4_2024-03-23 09:30:00
78,4,2024-03-23 09:00:00,0.0,0.0,0.4,57.4,68.4,68.4,2024-03-23,4_2024-03-23 09:00:00
79,4,2024-03-23 08:45:00,0.0,0.0,0.4,57.4,68.4,68.4,2024-03-23,4_2024-03-23 08:45:00
80,4,2024-03-23 08:30:00,,0.0,0.4,57.4,68.4,68.4,2024-03-23,4_2024-03-23 08:30:00
81,4,2024-03-23 08:15:00,0.0,0.2,0.4,57.4,68.4,68.4,2024-03-23,4_2024-03-23 08:15:00
82,4,2024-03-23 07:45:00,0.0,0.2,0.4,57.4,68.4,68.4,2024-03-23,4_2024-03-23 07:45:00
83,4,2024-03-23 07:30:00,0.2,0.4,0.4,57.4,68.4,68.4,2024-03-23,4_2024-03-23 07:30:00
84,4,2024-03-23 07:15:00,0.0,0.2,0.2,57.2,68.2,68.2,2024-03-23,4_2024-03-23 07:15:00
85,4,2024-03-23 07:00:00,0.0,0.2,0.2,57.2,68.2,68.2,2024-03-23,4_2024-03-23 07:00:00
86,4,2024-03-23 06:45:00,0.2,0.2,0.2,57.2,68.2,68.2,2024-03-23,4_2024-03-23 06:45:00
87,4,2024-03-23 06:30:00,,0.0,0.0,57.0,68.0,68.0,2024-03-23,4_2024-03-23 06:30:00
88,4,2024-03-23 06:15:00,0.0,0.0,0.0,57.0,68.0,68.0,2024-03-23,4_2024-03-23 06:15:00
89,4,2024-03-23 05:15:00,,0.0,0.8,57.0,68.0,68.0,2024-03-23,4_2024-03-23 05:15:00
90,4,2024-03-23 05:30:00,0.0,0.0,0.8,57.0,68.0,68.0,2024-03-23,4_2024-03-23 05:30:00
91,4,2024-03-23 05:45:00,0.0,0.0,0.6,57.0,68.0,68.0,2024-03-23,4_2024-03-23 05:45:00
92,4,2024-03-23 05:00:00,0.0,0.0,1.0,57.0,68.0,68.0,2024-03-23,4_2024-03-23 05:00:00
93,4,2024-03-23 04:30:00,0.0,0.0,1.2,57.0,68.0,68.0,2024-03-23,4_2024-03-23 04:30:00
94,4,2024-03-23 04:45:00,,0.0,1.0,57.0,68.0,68.0,2024-03-23,4_2024-03-23 04:45:00
95,4,2024-03-23 04:15:00,,0.0,2.4,57.0,68.0,68.0,2024-03-23,4_2024-03-23 04:15:00
96,4,2024-03-23 03:45:00,,0.0,3.6,57.0,68.0,68.0,2024-03-23,4_2024-03-23 03:45:00
97,4,2024-03-23 04:00:00,0.0,0.0,2.8,57.0,68.0,68.0,2024-03-23,4_2024-03-23 04:00:00
98,4,2024-03-23 03:30:00,0.0,0.0,5.4,57.0,68.0,68.0,2024-03-23,4_2024-03-23 03:30:00
