id,geometry
88a8a02e45fffff,"POLYGON((-43.766641849661 -22.9119256774011, -43.7624713216793 -22.9089393788286, -43.7633796699632 -22.9042610348136, -43.7684584711814 -22.9025690286575, -43.7726289597614 -22.9055553960289, -43.7717206865365 -22.9102337007461, -43.766641849661 -22.9119256774011))"
88a8a0289dfffff,"POLYGON((-43.6611006222112 -22.8682774390282, -43.6569304403729 -22.8652866291535, -43.6578396004423 -22.8606062934294, -43.6629188678412 -22.8589168058257, -43.667089011892 -22.861907684179, -43.6661799263429 -22.866587981646, -43.6611006222112 -22.8682774390282))"
88a8a0645dfffff,"POLYGON((-43.4673786023631 -22.862542432915, -43.4632086390961 -22.8595461024449, -43.4641193801722 -22.8548661486068, -43.4692000109817 -22.8531825615767, -43.4733699394173 -22.8561789600835, -43.4724592718865 -22.8608588775722, -43.4673786023631 -22.862542432915))"
88a8a039c9fffff,"POLYGON((-43.5886234224224 -23.0454019659574, -43.5844521311124 -23.0424156628906, -43.5853621425439 -23.0377451323705, -43.5904433710991 -23.0360609424632, -43.5946146257064 -23.0390473141755, -43.593704688473 -23.0437178071381, -43.5886234224224 -23.0454019659574))"
88a8a029dbfffff,"POLYGON((-43.6121238661007 -22.8758033113644, -43.6079536716332 -22.8728114307203, -43.6088632461961 -22.8681316686216, -43.6139429409618 -22.866443824931, -43.6181130983877 -22.8694357739583, -43.6172035981011 -22.8741154982815, -43.6121238661007 -22.8758033113644))"
88a8a3d355fffff,"POLYGON((-43.1175425261705 -22.7547252129122, -43.1133738354318 -22.7517154924962, -43.1142872399734 -22.7470311344101, -43.1193692635168 -22.7453565296077, -43.1235379247797 -22.7483663170923, -43.1226245919869 -22.7530506422991, -43.1175425261705 -22.7547252129122))"
88a8a02e2dfffff,"POLYGON((-43.7476063500128 -22.8876338171606, -43.7434359904335 -22.8846461002431, -43.7443444620484 -22.8799665131747, -43.749423218296 -22.8782746821222, -43.7535935387668 -22.88126246775, -43.75268514211 -22.8859420157085, -43.7476063500128 -22.8876338171606))"
88a8a06f55fffff,"POLYGON((-43.2698504201496 -22.827166740994, -43.2656809704431 -22.8241637483421, -43.2665932602658 -22.8194826526856, -43.2716749272681 -22.8178045840682, -43.2758443451638 -22.8208076442577, -43.2749321278797 -22.8254887055155, -43.2698504201496 -22.827166740994))"
88a8a07533fffff,"POLYGON((-43.3959955841362 -22.9605464134001, -43.3918250664713 -22.9575517054451, -43.3927365289556 -22.9528772983054, -43.3978184359089 -22.9511976347717, -43.4019889198219 -22.9541924107922, -43.4010775305452 -22.9588667822693, -43.3959955841362 -22.9605464134001))"
88a8a069a9fffff,"POLYGON((-43.1093215147372 -22.79687168039, -43.1051525642957 -22.7938632541734, -43.1060660948879 -22.7891811888512, -43.1111485042168 -22.7875075825446, -43.1153174253042 -22.7905160758957, -43.1144039664285 -22.7951981084074, -43.1093215147372 -22.79687168039))"
88a8a0612bfffff,"POLYGON((-43.2256697239918 -22.9074047138472, -43.2214998230758 -22.9044034293423, -43.2224125832282 -22.899726826746, -43.2274951719754 -22.8980515426252, -43.2316650417479 -22.901052894727, -43.2307523539285 -22.905729463341, -43.2256697239918 -22.9074047138472))"
88a8a021e9fffff,"POLYGON((-43.7154772985788 -22.9552031085689, -43.7113065108857 -22.9522169882074, -43.7122153458731 -22.9475411443645, -43.717294893752 -22.9458514596678, -43.7214656428181 -22.9488376487931, -43.7205568826439 -22.9535134538398, -43.7154772985788 -22.9552031085689))"
88a8a03965fffff,"POLYGON((-43.5123983695482 -23.0706418195199, -43.5082269856706 -23.0676543433813, -43.5091376583663 -23.0629854572167, -43.5142196411308 -23.0613040839937, -43.5183909894665 -23.0642916286552, -43.5174803905913 -23.0689604780053, -43.5123983695482 -23.0706418195199))"
88a8a02ac9fffff,"POLYGON((-43.6724862450572 -22.9563766792162, -43.6683154758354 -22.9533894149554, -43.6692246682399 -22.9487137803877, -43.6743045552798 -22.9470254484434, -43.67847528653 -22.9500127813735, -43.6775661687236 -22.9546883775671, -43.6724862450572 -22.9563766792162))"
88a8a02b69fffff,"POLYGON((-43.5440313091638 -22.9815147803113, -43.5398604802472 -22.9785249003926, -43.5407707657711 -22.9738510747573, -43.5458518062644 -22.9721671661452, -43.5500225991663 -22.9751571144936, -43.5491123876013 -22.9798309030129, -43.5440313091638 -22.9815147803113))"
88a8a06f47fffff,"POLYGON((-43.2546050220788 -22.8321997229902, -43.2504355650563 -22.8291964990341, -43.2513479846913 -22.8245157343505, -43.2564297888981 -22.8228382278611, -43.2605992143423 -22.8258415193317, -43.2596868671698 -22.8305222497656, -43.2546050220788 -22.8321997229902))"
88a8a06f09fffff,"POLYGON((-43.2605992143423 -22.8258415193317, -43.2564297888981 -22.8228382278611, -43.2573421512123 -22.8181570978973, -43.262423866491 -22.8164792936999, -43.2665932602658 -22.8194826526856, -43.2656809704431 -22.8241637483421, -43.2605992143423 -22.8258415193317))"
88a8a02b39fffff,"POLYGON((-43.5647349211105 -22.9484147113538, -43.5605642902884 -22.9454241870487, -43.5614743584874 -22.9407485006933, -43.5665549834649 -22.9390633759476, -43.5707255779601 -22.9420539686669, -43.5698155838163 -22.9467296177062, -43.5647349211105 -22.9484147113538))"
88a8a07a9bfffff,"POLYGON((-43.2495113343604 -23.0045028283689, -43.2453407525909 -23.0015057236235, -43.2462534612151 -22.9968342690669, -43.2513366791445 -22.9951599534805, -43.2555072293964 -22.9981571260567, -43.2545945932483 -23.0028285463769, -43.2495113343604 -23.0045028283689))"
88a8a02ac5fffff,"POLYGON((-43.6599740048025 -22.947414211853, -43.6558033030795 -22.9444262730999, -43.6567125859666 -22.9397501983883, -43.6617924960551 -22.9380621006693, -43.6659631599983 -22.941050108047, -43.6650539516444 -22.9457261445076, -43.6599740048025 -22.947414211853))"
88a8a039c5fffff,"POLYGON((-43.5761096185908 -23.0364423815553, -43.5719383974672 -23.0334554033755, -43.5728484988215 -23.0287844324361, -43.577929747178 -23.0271004770996, -43.5821009317908 -23.0300875238809, -43.5811909045696 -23.0347584573858, -43.5761096185908 -23.0364423815553))"
88a8a02137fffff,"POLYGON((-43.6877258591908 -22.9513112147474, -43.6835551135035 -22.9483241848442, -43.6844641726507 -22.943648225158, -43.6895439028237 -22.9419593338871, -43.6937146103076 -22.9449464324844, -43.6928056258336 -22.949622353647, -43.6877258591908 -22.9513112147474))"
88a8a02a0dfffff,"POLYGON((-43.6207745315074 -22.9779235756562, -43.6166036580411 -22.9749356770908, -43.6175133079682 -22.9702613842186, -43.6225937570295 -22.9685750277684, -43.6267645933105 -22.9715629949273, -43.6258550177271 -22.9762372499315, -43.6207745315074 -22.9779235756562))"
88a8a02a01fffff,"POLYGON((-43.6267645933105 -22.9715629949273, -43.6225937570295 -22.9685750277684, -43.6235033484803 -22.9639003706231, -43.6285837018513 -22.9622137185516, -43.6327545008562 -22.9652017543057, -43.6318449837778 -22.9698763735246, -43.6267645933105 -22.9715629949273))"
88a8a06705fffff,"POLYGON((-43.4004141774643 -22.889089772894, -43.3962441240052 -22.8860925802591, -43.3971554478776 -22.8814143048998, -43.4022367520073 -22.8797332578587, -43.4064067716546 -22.882730518434, -43.4054955209957 -22.8874087580985, -43.4004141774643 -22.889089772894))"
88a8a02837fffff,"POLYGON((-43.6001449399583 -22.8885364127633, -43.5959746716797 -22.8855446688814, -43.5968843630531 -22.8808656330741, -43.6019642484975 -22.8791783787957, -43.6061344799159 -22.8821701910581, -43.6052248627617 -22.8868491892067, -43.6001449399583 -22.8885364127633))"
88a8a06331fffff,"POLYGON((-43.2604625588792 -22.9484301955714, -43.2562923275929 -22.9454313473579, -43.2572048673975 -22.9407568173101, -43.2622875659813 -22.9390811697965, -43.2664577655881 -22.9420800857594, -43.2655452983024 -22.946754581475, -43.2604625588792 -22.9484301955714))"
88a8a0674bfffff,"POLYGON((-43.4194424878952 -22.9134264296233, -43.4152722492458 -22.9104306434091, -43.416183453571 -22.905753606098, -43.4212648232421 -22.9040723908751, -43.4254350277865 -22.9070682451174, -43.4245238967765 -22.911745246543, -43.4194424878952 -22.9134264296233))"
88a8a0718bfffff,"POLYGON((-43.2930433839742 -23.025121639934, -43.2888725937874 -23.0221264757601, -43.289784981814 -23.0174559630481, -43.2948680873376 -23.0157806491642, -43.299038845339 -23.0187758813006, -43.298126530014 -23.0234463593468, -43.2930433839742 -23.025121639934))"
88a8a02963fffff,"POLYGON((-43.5239400171753 -22.9138223809598, -43.5197696541383 -22.9108294702485, -43.5206800069154 -22.9061520670984, -43.5257606488992 -22.9044676115601, -43.5299309762358 -22.9074605905303, -43.5290206973006 -22.9121379567683, -43.5239400171753 -22.9138223809598))"
88a8a074b1fffff,"POLYGON((-43.4967147422348 -22.9315943538501, -43.4925442913547 -22.9286013463308, -43.4934548922395 -22.9239249999253, -43.4985358703071 -22.9222416976742, -43.5027062859004 -22.9252347734257, -43.5017957587246 -22.9299110831845, -43.4967147422348 -22.9315943538501))"
88a8a02aebfffff,"POLYGON((-43.6567125859666 -22.9397501983883, -43.6525419369722 -22.9367618882378, -43.6534512357838 -22.9320854117767, -43.6585311090862 -22.930397283673, -43.6627017203515 -22.9333856624266, -43.6617924960551 -22.9380621006693, -43.6567125859666 -22.9397501983883))"
88a8a068edfffff,"POLYGON((-43.1653466733414 -22.8266007728028, -43.1611774155285 -22.8235949301999, -43.1620905422427 -22.8189142273136, -43.1671728547734 -22.8172394003887, -43.1713420823728 -22.8202453103036, -43.1704290276668 -22.8249259798199, -43.1653466733414 -22.8266007728028))"
88a8a029a9fffff,"POLYGON((-43.5626133649855 -22.8616026581032, -43.5584433072503 -22.8586088999611, -43.55935326823 -22.8539285498341, -43.5644332129323 -22.8522419951245, -43.5686032343828 -22.8552358215123, -43.5676933474275 -22.8599161343526, -43.5626133649855 -22.8616026581032))"
88a8a07585fffff,"POLYGON((-43.4232272507717 -22.9427965018355, -43.4190568139736 -22.9398018907769, -43.4199680297666 -22.9351264222386, -43.4250496090284 -22.9334456006745, -43.4292200116606 -22.9364402798249, -43.4283088692086 -22.9411157124362, -43.4232272507717 -22.9427965018355))"
88a8a0754dfffff,"POLYGON((-43.3850572872615 -23.0166175788301, -43.3808864152884 -23.0136246212084, -43.3817980472115 -23.0089532873457, -43.3868804779541 -23.0072749466569, -43.3910513163364 -23.0102679724244, -43.3901397575787 -23.0149392707233, -43.3850572872615 -23.0166175788301))"
88a8a0298bfffff,"POLYGON((-43.5903634163168 -22.8655217609882, -43.5861933077572 -22.8625289070533, -43.5871030465235 -22.8578486690602, -43.5921828196964 -22.8561613225508, -43.5963528915475 -22.8591542448007, -43.5954432269459 -22.8638344452334, -43.5903634163168 -22.8655217609882))"
88a8a028d3fffff,"POLYGON((-43.6736113027063 -22.8772485232286, -43.6694410534218 -22.8742583861103, -43.6703501230233 -22.869578489443, -43.6754293673358 -22.8678887682634, -43.6795995786409 -22.8708789739054, -43.6786905836245 -22.8755588321918, -43.6736113027063 -22.8772485232286))"
88a8a0282dfffff,"POLYGON((-43.5761852449005 -22.9139947141879, -43.5720148300872 -22.9110032438147, -43.5729247548753 -22.9063256622355, -43.5780050203834 -22.9046395884436, -43.582175398699 -22.907631127192, -43.5812655480158 -22.9123086713457, -43.5761852449005 -22.9139947141879))"
88a8a03823fffff,"POLYGON((-43.5918847714074 -23.0530580244105, -43.5877134267873 -23.0500720933828, -43.5886234224224 -23.0454019659574, -43.593704688473 -23.0437178071381, -43.5978759963397 -23.0467038068326, -43.5969660749209 -23.0513738966681, -43.5918847714074 -23.0530580244105))"
88a8a039b3fffff,"POLYGON((-43.5902905380046 -22.9880376029979, -43.5861196232505 -22.9850492359316, -43.5870295385116 -22.9803755967843, -43.5921102943454 -22.9786903622616, -43.5962811723781 -22.9816787978721, -43.59537133131 -22.9863523994496, -43.5902905380046 -22.9880376029979))"
88a8a029d3fffff,"POLYGON((-43.6088632461961 -22.8681316686216, -43.6046931048414 -22.8651394178807, -43.6056026952316 -22.8604592550995, -43.6106823527298 -22.8587713807904, -43.6148524570937 -22.8617636998925, -43.6139429409618 -22.866443824931, -43.6088632461961 -22.8681316686216))"
88a8a075cdfffff,"POLYGON((-43.4270123526261 -22.9721563729735, -43.4228417176969 -22.9691629383035, -43.4237529449482 -22.9644890401449, -43.4288347337735 -22.962808612613, -43.4330053344758 -22.965802115438, -43.4320941805914 -22.9704759776283, -43.4270123526261 -22.9721563729735))"
88a8a076a3fffff,"POLYGON((-43.5042914895933 -22.9903062490979, -43.5001206438826 -22.9873155991174, -43.5010312672612 -22.9826423933424, -43.5061126626014 -22.980959874264, -43.510283472903 -22.9839505926027, -43.5093729232852 -22.9886237616502, -43.5042914895933 -22.9903062490979))"
88a8a07623fffff,"POLYGON((-43.4623433673779 -23.0347772749291, -43.4581722763463 -23.0317871034147, -43.4590833060881 -23.02711645924, -43.4641653533136 -23.0254360228901, -43.4683364095718 -23.0284262627524, -43.4674254533897 -23.0330968706052, -43.4623433673779 -23.0347772749291))"
88a8a06351fffff,"POLYGON((-43.2827474177213 -22.9804376104795, -43.2785769385981 -22.9774405348912, -43.2794893451809 -22.9727676449107, -43.2845721582596 -22.9710918650638, -43.2887426053595 -22.9740890085094, -43.2878302714158 -22.9787618639331, -43.2827474177213 -22.9804376104795))"
88a8a06e31fffff,"POLYGON((-43.3215772472657 -22.8056959079409, -43.3174078555642 -22.8026935417996, -43.3183196977093 -22.7980110907813, -43.323400858772 -22.7963310407964, -43.3275702178745 -22.7993334745456, -43.3266584485251 -22.8040158906603, -43.3215772472657 -22.8056959079409))"
88a8a0285dfffff,"POLYGON((-43.6197098497155 -22.9345448872088, -43.6155392626927 -22.9315553667388, -43.6164488590976 -22.9268787383132, -43.6215289682087 -22.925191668201, -43.6256995180675 -22.9281812571816, -43.6247899959908 -22.9328578477525, -43.6197098497155 -22.9345448872088))"
88a8a06735fffff,"POLYGON((-43.3998893347787 -22.8673779481018, -43.395719424786 -22.8643799510861, -43.3966307217178 -22.859700510075, -43.4017118554482 -22.8580191017542, -43.4058817316395 -22.8610171666678, -43.4049705079135 -22.8656965719928, -43.3998893347787 -22.8673779481018))"
88a8a3d247fffff,"POLYGON((-43.1670521266449 -22.7690855272221, -43.1628832432053 -22.7660776575173, -43.1637962735813 -22.7613938632094, -43.1688781154051 -22.7597179719663, -43.1730469686107 -22.7627259088739, -43.1721340102384 -22.7674096698103, -43.1670521266449 -22.7690855272221))"
88a8a028b9fffff,"POLYGON((-43.6485901444507 -22.8593043369593, -43.6444200304547 -22.856312854729, -43.6453292809022 -22.8516320802163, -43.6504085709019 -22.8499428260557, -43.6545786473022 -22.8529343767195, -43.6536694713102 -22.8576151130989, -43.6485901444507 -22.8593043369593))"
