,id_estacao,data_medicao,acumulado_chuva_5min,acumulado_chuva_10min,acumulado_chuva_15min,acumulado_chuva_30min,acumulado_chuva_1h,acumulado_chuva_2h,acumulado_chuva_3h,acumulado_chuva_4h,acumulado_chuva_6h,acumulado_chuva_12h,acumulado_chuva_24h,acumulado_chuva_96h,acumulado_chuva_mes,data_particao,primary_key
28,1,2024-03-01 03:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,2024-03-01,1_2024-03-01 03:20:00
29,1,2024-03-01 07:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,2024-03-01,1_2024-03-01 07:10:00
30,1,2024-03-01 07:25:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,2024-03-01,1_2024-03-01 07:25:00
31,1,2024-03-01 11:55:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,2024-03-01,1_2024-03-01 11:55:00
32,1,2024-03-01 00:05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,2024-03-01,1_2024-03-01 00:05:00
33,1,2024-03-01 08:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,2024-03-01,1_2024-03-01 08:15:00
34,1,2024-03-01 00:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,2024-03-01,1_2024-03-01 00:30:00
35,1,2024-03-01 12:35:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,2024-03-01,1_2024-03-01 12:35:00
36,1,2024-03-01 05:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,2024-03-01,1_2024-03-01 05:10:00
37,1,2024-03-01 08:35:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,2024-03-01,1_2024-03-01 08:35:00
38,1,2024-03-01 15:25:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,2024-03-01,1_2024-03-01 15:25:00
39,1,2024-03-01 05:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,2024-03-01,1_2024-03-01 05:45:00
40,1,2024-03-01 03:55:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,2024-03-01,1_2024-03-01 03:55:00
41,1,2024-03-01 14:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,2024-03-01,1_2024-03-01 14:30:00
42,1,2024-03-01 10:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,2024-03-01,1_2024-03-01 10:30:00
43,1,2024-03-01 06:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,2024-03-01,1_2024-03-01 06:45:00
44,1,2024-03-01 12:05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,2024-03-01,1_2024-03-01 12:05:00
45,1,2024-03-01 02:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,2024-03-01,1_2024-03-01 02:15:00
46,1,2024-03-01 12:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,2024-03-01,1_2024-03-01 12:10:00
47,1,2024-03-01 11:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,2024-03-01,1_2024-03-01 11:45:00
48,1,2024-03-01 13:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,2024-03-01,1_2024-03-01 13:00:00
49,1,2024-03-01 04:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,2024-03-01,1_2024-03-01 04:10:00
50,1,2024-03-01 04:05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,2024-03-01,1_2024-03-01 04:05:00
51,1,2024-03-01 09:25:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,2024-03-01,1_2024-03-01 09:25:00
52,1,2024-03-01 11:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,2024-03-01,1_2024-03-01 11:10:00
53,1,2024-03-01 10:55:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,2024-03-01,1_2024-03-01 10:55:00
54,1,2024-03-01 05:05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,2024-03-01,1_2024-03-01 05:05:00
55,1,2024-03-01 06:35:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,2024-03-01,1_2024-03-01 06:35:00
56,1,2024-03-01 11:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,2024-03-01,1_2024-03-01 11:30:00
57,1,2024-03-01 12:25:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,2024-03-01,1_2024-03-01 12:25:00
58,1,2024-03-01 04:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,2024-03-01,1_2024-03-01 04:20:00
59,1,2024-03-01 15:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,2024-03-01,1_2024-03-01 15:20:00
60,1,2024-03-01 14:05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,2024-03-01,1_2024-03-01 14:05:00
61,1,2024-03-01 15:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,2024-03-01,1_2024-03-01 15:30:00
62,1,2024-03-01 01:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,2024-03-01,1_2024-03-01 01:40:00
63,1,2024-03-01 08:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,2024-03-01,1_2024-03-01 08:45:00
64,1,2024-03-01 07:35:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,2024-03-01,1_2024-03-01 07:35:00
65,1,2024-03-01 10:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,2024-03-01,1_2024-03-01 10:45:00
66,1,2024-03-01 00:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,2024-03-01,1_2024-03-01 00:50:00
67,1,2024-03-01 06:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,2024-03-01,1_2024-03-01 06:10:00
68,1,2024-03-01 08:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,2024-03-01,1_2024-03-01 08:40:00
69,1,2024-03-01 02:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,2024-03-01,1_2024-03-01 02:20:00
70,1,2024-03-01 10:05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,2024-03-01,1_2024-03-01 10:05:00
71,1,2024-03-01 13:05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,2024-03-01,1_2024-03-01 13:05:00
72,1,2024-03-01 14:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,2024-03-01,1_2024-03-01 14:20:00
73,1,2024-03-01 06:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,2024-03-01,1_2024-03-01 06:15:00
74,1,2024-03-01 07:05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,2024-03-01,1_2024-03-01 07:05:00
75,1,2024-03-01 07:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,2024-03-01,1_2024-03-01 07:45:00
76,1,2024-03-01 10:25:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,2024-03-01,1_2024-03-01 10:25:00
77,1,2024-03-01 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,2024-03-01,1_2024-03-01 09:00:00
78,1,2024-03-01 05:25:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,2024-03-01,1_2024-03-01 05:25:00
79,1,2024-03-01 08:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,2024-03-01,1_2024-03-01 08:20:00
80,1,2024-03-01 01:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,2024-03-01,1_2024-03-01 01:10:00
81,1,2024-03-01 11:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,2024-03-01,1_2024-03-01 11:40:00
82,1,2024-03-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,2024-03-01,1_2024-03-01 04:00:00
83,1,2024-03-01 09:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,2024-03-01,1_2024-03-01 09:10:00
84,1,2024-03-01 15:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,2024-03-01,1_2024-03-01 15:45:00
85,1,2024-03-01 15:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,2024-03-01,1_2024-03-01 15:40:00
