latitude,longitude,predictions,id_h3,bairro,data_medicao,ano_particao,mes_particao,data_particao
-22.93090601718444,-43.77720730635629,0.0288631791007347,88a8a020a1fffff,Santa Cruz,2023-05-26 19:25:00,2023,5,2023-05-26
-22.93090601718444,-43.77720730635629,0.021432745439007,88a8a020a1fffff,Santa Cruz,2023-05-16 13:45:00,2023,5,2023-05-16
-22.93090601718444,-43.77720730635629,0.0290790117776752,88a8a020a1fffff,Santa Cruz,2023-05-24 22:50:00,2023,5,2023-05-24
-22.93090601718444,-43.77720730635629,0.0255583421260702,88a8a020a1fffff,Santa Cruz,2023-05-15 10:50:00,2023,5,2023-05-15
-22.93090601718444,-43.77720730635629,0.02517737550436,88a8a020a1fffff,Santa Cruz,2023-05-20 22:35:00,2023,5,2023-05-20
-22.9245367186839,-43.78319442418806,0.0246138164873029,88a8a020a3fffff,Santa Cruz,2023-05-08 23:45:00,2023,5,2023-05-08
-22.9245367186839,-43.78319442418806,0.0279224798749502,88a8a020a3fffff,Santa Cruz,2023-05-20 00:15:00,2023,5,2023-05-20
-22.9245367186839,-43.78319442418806,0.0224870997681316,88a8a020a3fffff,Santa Cruz,2023-05-26 17:10:00,2023,5,2023-05-26
-22.9245367186839,-43.78319442418806,0.0364259133676857,88a8a020a3fffff,Santa Cruz,2023-05-12 19:10:00,2023,5,2023-05-12
-22.9245367186839,-43.78319442418806,0.0202345256264174,88a8a020a3fffff,Santa Cruz,2023-05-29 17:40:00,2023,5,2023-05-29
-22.9245367186839,-43.78319442418806,0.1639600022537955,88a8a020a3fffff,Santa Cruz,2023-05-31 04:55:00,2023,5,2023-05-31
-22.9245367186839,-43.78319442418806,0.0382960534197088,88a8a020a3fffff,Santa Cruz,2023-05-07 01:00:00,2023,5,2023-05-07
-22.9245367186839,-43.78319442418806,0.0923560126045682,88a8a020a3fffff,Santa Cruz,2023-05-24 10:55:00,2023,5,2023-05-24
-22.9245367186839,-43.78319442418806,0.0276509494871719,88a8a020a3fffff,Santa Cruz,2023-05-12 05:55:00,2023,5,2023-05-12
-22.9245367186839,-43.78319442418806,0.0508490102956392,88a8a020a3fffff,Santa Cruz,2023-05-26 04:45:00,2023,5,2023-05-26
-22.9245367186839,-43.78319442418806,0.3899415485605754,88a8a020a3fffff,Santa Cruz,2023-05-13 05:05:00,2023,5,2023-05-13
-22.9245367186839,-43.78319442418806,0.0230846580445178,88a8a020a3fffff,Santa Cruz,2023-05-18 08:10:00,2023,5,2023-05-18
-22.9245367186839,-43.78319442418806,0.1465433403634892,88a8a020a3fffff,Santa Cruz,2023-05-17 06:00:00,2023,5,2023-05-17
-22.9245367186839,-43.78319442418806,0.0415220686489247,88a8a020a3fffff,Santa Cruz,2023-05-15 10:40:00,2023,5,2023-05-15
-22.9245367186839,-43.78319442418806,0.0695112272086532,88a8a020a3fffff,Santa Cruz,2023-05-07 13:40:00,2023,5,2023-05-07
-22.9245367186839,-43.78319442418806,0.0340559857465262,88a8a020a3fffff,Santa Cruz,2023-05-27 05:55:00,2023,5,2023-05-27
-22.9245367186839,-43.78319442418806,0.0192983968841383,88a8a020a3fffff,Santa Cruz,2023-05-07 04:35:00,2023,5,2023-05-07
-22.9245367186839,-43.78319442418806,0.0944771138573352,88a8a020a3fffff,Santa Cruz,2023-05-06 05:55:00,2023,5,2023-05-06
-22.9245367186839,-43.78319442418806,0.1536359310213034,88a8a020a3fffff,Santa Cruz,2023-05-17 09:15:00,2023,5,2023-05-17
-22.9245367186839,-43.78319442418806,0.0922206635550039,88a8a020a3fffff,Santa Cruz,2023-05-30 12:10:00,2023,5,2023-05-30
-22.9245367186839,-43.78319442418806,0.0297237595585343,88a8a020a3fffff,Santa Cruz,2023-05-14 20:50:00,2023,5,2023-05-14
-22.9245367186839,-43.78319442418806,0.0355206530656101,88a8a020a3fffff,Santa Cruz,2023-05-24 09:40:00,2023,5,2023-05-24
-22.9245367186839,-43.78319442418806,0.0203701471072515,88a8a020a3fffff,Santa Cruz,2023-05-22 22:10:00,2023,5,2023-05-22
-22.9245367186839,-43.78319442418806,0.0284294932319805,88a8a020a3fffff,Santa Cruz,2023-05-20 09:35:00,2023,5,2023-05-20
-22.9245367186839,-43.78319442418806,0.0192983968841383,88a8a020a3fffff,Santa Cruz,2023-05-12 20:35:00,2023,5,2023-05-12
-22.9245367186839,-43.78319442418806,0.0192983968841383,88a8a020a3fffff,Santa Cruz,2023-05-23 07:20:00,2023,5,2023-05-23
-22.9245367186839,-43.78319442418806,0.0278952303376011,88a8a020a3fffff,Santa Cruz,2023-05-20 19:00:00,2023,5,2023-05-20
-22.9245367186839,-43.78319442418806,0.0244138431750541,88a8a020a3fffff,Santa Cruz,2023-05-09 05:40:00,2023,5,2023-05-09
-22.9245367186839,-43.78319442418806,0.0344681669447482,88a8a020a3fffff,Santa Cruz,2023-05-11 21:35:00,2023,5,2023-05-11
-22.9245367186839,-43.78319442418806,0.0271683473689412,88a8a020a3fffff,Santa Cruz,2023-05-23 15:05:00,2023,5,2023-05-23
-22.9245367186839,-43.78319442418806,0.1972597139604988,88a8a020a3fffff,Santa Cruz,2023-05-10 14:20:00,2023,5,2023-05-10
-22.92961242553036,-43.76795768089791,0.0415605898473175,88a8a020a5fffff,Santa Cruz,2023-05-12 07:35:00,2023,5,2023-05-12
-22.92961242553036,-43.76795768089791,0.0556673563218129,88a8a020a5fffff,Santa Cruz,2023-05-22 08:40:00,2023,5,2023-05-22
-22.92961242553036,-43.76795768089791,0.0198434059213532,88a8a020a5fffff,Santa Cruz,2023-05-06 00:15:00,2023,5,2023-05-06
-22.92961242553036,-43.76795768089791,0.0920328708342728,88a8a020a5fffff,Santa Cruz,2023-05-19 11:20:00,2023,5,2023-05-19
-22.92961242553036,-43.76795768089791,0.0387835905512991,88a8a020a5fffff,Santa Cruz,2023-05-22 11:40:00,2023,5,2023-05-22
-22.92961242553036,-43.76795768089791,0.0288497325347068,88a8a020a5fffff,Santa Cruz,2023-05-14 20:50:00,2023,5,2023-05-14
-22.92961242553036,-43.76795768089791,0.03680931868447,88a8a020a5fffff,Santa Cruz,2023-05-22 14:25:00,2023,5,2023-05-22
-22.92961242553036,-43.76795768089791,0.0192946299181565,88a8a020a5fffff,Santa Cruz,2023-05-11 16:15:00,2023,5,2023-05-11
-22.92961242553036,-43.76795768089791,0.0290790117776752,88a8a020a5fffff,Santa Cruz,2023-05-24 01:35:00,2023,5,2023-05-24
-22.92961242553036,-43.76795768089791,0.0199573958310872,88a8a020a5fffff,Santa Cruz,2023-05-22 01:00:00,2023,5,2023-05-22
-22.92961242553036,-43.76795768089791,0.0329916332033639,88a8a020a5fffff,Santa Cruz,2023-05-12 11:40:00,2023,5,2023-05-12
-22.92961242553036,-43.76795768089791,0.0261331386768695,88a8a020a5fffff,Santa Cruz,2023-05-15 16:35:00,2023,5,2023-05-15
-22.92961242553036,-43.76795768089791,0.0272568603598029,88a8a020a5fffff,Santa Cruz,2023-05-25 21:20:00,2023,5,2023-05-25
-22.92961242553036,-43.76795768089791,0.0304348971116522,88a8a020a5fffff,Santa Cruz,2023-05-12 14:15:00,2023,5,2023-05-12
-22.92961242553036,-43.76795768089791,0.0281866168795738,88a8a020a5fffff,Santa Cruz,2023-05-31 03:55:00,2023,5,2023-05-31
-22.92961242553036,-43.76795768089791,0.0547596105195556,88a8a020a5fffff,Santa Cruz,2023-05-12 06:55:00,2023,5,2023-05-12
-22.92961242553036,-43.76795768089791,0.0272568603598029,88a8a020a5fffff,Santa Cruz,2023-05-16 20:00:00,2023,5,2023-05-16
-22.92961242553036,-43.76795768089791,0.0514187291771981,88a8a020a5fffff,Santa Cruz,2023-05-16 20:55:00,2023,5,2023-05-16
-22.92961242553036,-43.76795768089791,0.0689661028862397,88a8a020a5fffff,Santa Cruz,2023-05-15 06:00:00,2023,5,2023-05-15
-22.92961242553036,-43.76795768089791,0.3843461394277849,88a8a020a5fffff,Santa Cruz,2023-05-12 05:05:00,2023,5,2023-05-12
-22.92961242553036,-43.76795768089791,0.0432382608841225,88a8a020a5fffff,Santa Cruz,2023-05-31 00:20:00,2023,5,2023-05-31
-22.92961242553036,-43.76795768089791,0.0421597372391128,88a8a020a5fffff,Santa Cruz,2023-05-13 07:40:00,2023,5,2023-05-13
-22.92961242553036,-43.76795768089791,0.0361915353624918,88a8a020a5fffff,Santa Cruz,2023-05-31 03:20:00,2023,5,2023-05-31
-22.92961242553036,-43.76795768089791,0.0222034919414031,88a8a020a5fffff,Santa Cruz,2023-05-27 01:05:00,2023,5,2023-05-27
-22.92961242553036,-43.76795768089791,0.0265587259360871,88a8a020a5fffff,Santa Cruz,2023-05-12 16:45:00,2023,5,2023-05-12
-22.92961242553036,-43.76795768089791,0.0832334312209781,88a8a020a5fffff,Santa Cruz,2023-05-19 02:35:00,2023,5,2023-05-19
-22.92961242553036,-43.76795768089791,0.019313763942182,88a8a020a5fffff,Santa Cruz,2023-05-20 05:45:00,2023,5,2023-05-20
-22.92961242553036,-43.76795768089791,0.0192983968841383,88a8a020a5fffff,Santa Cruz,2023-05-18 18:55:00,2023,5,2023-05-18
-22.92961242553036,-43.76795768089791,0.0192983968841383,88a8a020a5fffff,Santa Cruz,2023-05-20 08:10:00,2023,5,2023-05-20
-22.92961242553036,-43.76795768089791,0.0406973203811287,88a8a020a5fffff,Santa Cruz,2023-05-09 12:05:00,2023,5,2023-05-09
-22.92961242553036,-43.76795768089791,0.4852853366744722,88a8a020a5fffff,Santa Cruz,2023-05-31 12:25:00,2023,5,2023-05-31
-22.92961242553036,-43.76795768089791,0.0681277467474318,88a8a020a5fffff,Santa Cruz,2023-05-12 11:55:00,2023,5,2023-05-12
-22.92961242553036,-43.76795768089791,0.0266448556257555,88a8a020a5fffff,Santa Cruz,2023-05-20 21:30:00,2023,5,2023-05-20
-22.92961242553036,-43.76795768089791,0.0303238874068229,88a8a020a5fffff,Santa Cruz,2023-05-30 13:00:00,2023,5,2023-05-30
-22.92961242553036,-43.76795768089791,0.0227518328400177,88a8a020a5fffff,Santa Cruz,2023-05-23 09:30:00,2023,5,2023-05-23
-22.92961242553036,-43.76795768089791,0.06801275473212,88a8a020a5fffff,Santa Cruz,2023-05-24 06:00:00,2023,5,2023-05-24
-22.92961242553036,-43.76795768089791,0.0197561002109117,88a8a020a5fffff,Santa Cruz,2023-05-07 16:35:00,2023,5,2023-05-07
-22.92961242553036,-43.76795768089791,0.0196223196666593,88a8a020a5fffff,Santa Cruz,2023-05-09 22:20:00,2023,5,2023-05-09
-22.92961242553036,-43.76795768089791,0.4564105054193174,88a8a020a5fffff,Santa Cruz,2023-05-13 10:40:00,2023,5,2023-05-13
-22.92961242553036,-43.76795768089791,0.0296805722085942,88a8a020a5fffff,Santa Cruz,2023-05-16 11:40:00,2023,5,2023-05-16
-22.92961242553036,-43.76795768089791,0.0228608258866535,88a8a020a5fffff,Santa Cruz,2023-05-11 18:55:00,2023,5,2023-05-11
-22.92961242553036,-43.76795768089791,0.0197633624976275,88a8a020a5fffff,Santa Cruz,2023-05-14 06:35:00,2023,5,2023-05-14
-22.92961242553036,-43.76795768089791,0.0832128813072133,88a8a020a5fffff,Santa Cruz,2023-05-30 17:20:00,2023,5,2023-05-30
-22.92961242553036,-43.76795768089791,0.0194089876032666,88a8a020a5fffff,Santa Cruz,2023-05-30 01:50:00,2023,5,2023-05-30
-22.92961242553036,-43.76795768089791,0.022027713071302,88a8a020a5fffff,Santa Cruz,2023-05-19 19:15:00,2023,5,2023-05-19
-22.92961242553036,-43.76795768089791,0.0336972169045203,88a8a020a5fffff,Santa Cruz,2023-05-22 09:00:00,2023,5,2023-05-22
-22.92324335172837,-43.77394493672604,0.2361519347528006,88a8a020a7fffff,Santa Cruz,2023-05-25 12:40:00,2023,5,2023-05-25
-22.92324335172837,-43.77394493672604,0.0869969544029341,88a8a020a7fffff,Santa Cruz,2023-05-07 06:25:00,2023,5,2023-05-07
-22.92324335172837,-43.77394493672604,0.0267657790116657,88a8a020a7fffff,Santa Cruz,2023-05-21 06:05:00,2023,5,2023-05-21
-22.92324335172837,-43.77394493672604,0.0438212379998512,88a8a020a7fffff,Santa Cruz,2023-05-06 03:15:00,2023,5,2023-05-06
-22.92324335172837,-43.77394493672604,0.1280256438744918,88a8a020a7fffff,Santa Cruz,2023-05-24 12:15:00,2023,5,2023-05-24
-22.92324335172837,-43.77394493672604,0.0385499227126144,88a8a020a7fffff,Santa Cruz,2023-05-14 22:40:00,2023,5,2023-05-14
-22.92324335172837,-43.77394493672604,0.0401880291929562,88a8a020a7fffff,Santa Cruz,2023-05-09 11:00:00,2023,5,2023-05-09
-22.92324335172837,-43.77394493672604,0.0567045075041136,88a8a020a7fffff,Santa Cruz,2023-05-07 06:15:00,2023,5,2023-05-07
-22.92324335172837,-43.77394493672604,0.0454261029394914,88a8a020a7fffff,Santa Cruz,2023-05-21 12:05:00,2023,5,2023-05-21
-22.92324335172837,-43.77394493672604,0.0258545992299129,88a8a020a7fffff,Santa Cruz,2023-05-25 19:30:00,2023,5,2023-05-25
-22.92324335172837,-43.77394493672604,0.1125006969548697,88a8a020a7fffff,Santa Cruz,2023-05-19 10:20:00,2023,5,2023-05-19
-22.92324335172837,-43.77394493672604,0.042533753930484,88a8a020a7fffff,Santa Cruz,2023-05-05 22:20:00,2023,5,2023-05-05
-22.92324335172837,-43.77394493672604,0.0528670253031787,88a8a020a7fffff,Santa Cruz,2023-05-11 16:25:00,2023,5,2023-05-11
-22.92324335172837,-43.77394493672604,0.2724824352165617,88a8a020a7fffff,Santa Cruz,2023-05-15 03:15:00,2023,5,2023-05-15
-22.92324335172837,-43.77394493672604,0.0352493722573399,88a8a020a7fffff,Santa Cruz,2023-05-19 02:25:00,2023,5,2023-05-19
-22.92324335172837,-43.77394493672604,0.0196739344688614,88a8a020a7fffff,Santa Cruz,2023-05-20 02:20:00,2023,5,2023-05-20
-22.92324335172837,-43.77394493672604,0.0284073947976052,88a8a020a7fffff,Santa Cruz,2023-05-30 06:25:00,2023,5,2023-05-30
-22.92324335172837,-43.77394493672604,0.0647385706023821,88a8a020a7fffff,Santa Cruz,2023-05-13 22:05:00,2023,5,2023-05-13
-22.92324335172837,-43.77394493672604,0.019313763942182,88a8a020a7fffff,Santa Cruz,2023-05-20 07:50:00,2023,5,2023-05-20
-22.92324335172837,-43.77394493672604,0.2073791591716342,88a8a020a7fffff,Santa Cruz,2023-05-20 23:30:00,2023,5,2023-05-20
-22.92324335172837,-43.77394493672604,0.0194940509359022,88a8a020a7fffff,Santa Cruz,2023-05-19 08:40:00,2023,5,2023-05-19
-22.92324335172837,-43.77394493672604,0.7356123329422077,88a8a020a7fffff,Santa Cruz,2023-05-13 11:05:00,2023,5,2023-05-13
-22.92324335172837,-43.77394493672604,0.0609444863355863,88a8a020a7fffff,Santa Cruz,2023-05-30 06:45:00,2023,5,2023-05-30
-22.92324335172837,-43.77394493672604,0.0290925597953242,88a8a020a7fffff,Santa Cruz,2023-05-09 12:00:00,2023,5,2023-05-09
-22.92324335172837,-43.77394493672604,0.0254257714605498,88a8a020a7fffff,Santa Cruz,2023-05-26 02:20:00,2023,5,2023-05-26
-22.92324335172837,-43.77394493672604,0.0269443872281837,88a8a020a7fffff,Santa Cruz,2023-05-20 17:25:00,2023,5,2023-05-20
-22.92324335172837,-43.77394493672604,0.0397989923818171,88a8a020a7fffff,Santa Cruz,2023-05-21 17:10:00,2023,5,2023-05-21
-22.92324335172837,-43.77394493672604,0.0192983968841383,88a8a020a7fffff,Santa Cruz,2023-05-26 03:50:00,2023,5,2023-05-26
-22.92324335172837,-43.77394493672604,0.0229345693495466,88a8a020a7fffff,Santa Cruz,2023-05-14 02:15:00,2023,5,2023-05-14
-22.92324335172837,-43.77394493672604,0.0644111848987202,88a8a020a7fffff,Santa Cruz,2023-05-22 13:30:00,2023,5,2023-05-22
-22.92324335172837,-43.77394493672604,0.0249264975102643,88a8a020a7fffff,Santa Cruz,2023-05-13 13:15:00,2023,5,2023-05-13
-22.92324335172837,-43.77394493672604,0.0335022867866636,88a8a020a7fffff,Santa Cruz,2023-05-06 14:50:00,2023,5,2023-05-06
-22.92324335172837,-43.77394493672604,0.02190763247493,88a8a020a7fffff,Santa Cruz,2023-05-30 01:35:00,2023,5,2023-05-30
-22.937274659657884,-43.771220031074286,0.0196795358536001,88a8a020adfffff,Santa Cruz,2023-05-28 19:10:00,2023,5,2023-05-28
-22.937274659657884,-43.771220031074286,0.0203442093350644,88a8a020adfffff,Santa Cruz,2023-05-21 05:35:00,2023,5,2023-05-21
-22.937274659657884,-43.771220031074286,0.0598142966244957,88a8a020adfffff,Santa Cruz,2023-05-19 22:00:00,2023,5,2023-05-19
-22.937274659657884,-43.771220031074286,0.0192983968841383,88a8a020adfffff,Santa Cruz,2023-05-22 21:35:00,2023,5,2023-05-22
-22.937274659657884,-43.771220031074286,0.3533438265439192,88a8a020adfffff,Santa Cruz,2023-05-28 23:30:00,2023,5,2023-05-28
-22.937274659657884,-43.771220031074286,0.022946873189213,88a8a020adfffff,Santa Cruz,2023-05-23 16:55:00,2023,5,2023-05-23
-22.937274659657884,-43.771220031074286,0.0216187338773457,88a8a020adfffff,Santa Cruz,2023-05-28 19:35:00,2023,5,2023-05-28
-22.937274659657884,-43.771220031074286,0.037411838169525,88a8a020adfffff,Santa Cruz,2023-05-21 23:05:00,2023,5,2023-05-21
-22.937274659657884,-43.771220031074286,0.029118849773915,88a8a020adfffff,Santa Cruz,2023-05-07 04:15:00,2023,5,2023-05-07
-22.937274659657884,-43.771220031074286,0.0613396439843275,88a8a020adfffff,Santa Cruz,2023-05-14 18:55:00,2023,5,2023-05-14
-22.937274659657884,-43.771220031074286,0.0228985960920422,88a8a020adfffff,Santa Cruz,2023-05-19 04:00:00,2023,5,2023-05-19
-22.937274659657884,-43.771220031074286,0.0192983968841383,88a8a020adfffff,Santa Cruz,2023-05-17 16:00:00,2023,5,2023-05-17
-22.937274659657884,-43.771220031074286,0.0248816023143313,88a8a020adfffff,Santa Cruz,2023-05-24 14:10:00,2023,5,2023-05-24
-22.937274659657884,-43.771220031074286,0.038878102530654,88a8a020adfffff,Santa Cruz,2023-05-20 16:00:00,2023,5,2023-05-20
-22.937274659657884,-43.771220031074286,0.0192983968841383,88a8a020adfffff,Santa Cruz,2023-05-19 18:55:00,2023,5,2023-05-19
-22.937274659657884,-43.771220031074286,0.0281120223177015,88a8a020adfffff,Santa Cruz,2023-05-06 19:40:00,2023,5,2023-05-06
-22.937274659657884,-43.771220031074286,0.0307221397846484,88a8a020adfffff,Santa Cruz,2023-05-26 23:50:00,2023,5,2023-05-26
-22.937274659657884,-43.771220031074286,0.275264686305447,88a8a020adfffff,Santa Cruz,2023-05-11 23:00:00,2023,5,2023-05-11
-22.937274659657884,-43.771220031074286,0.0303466665713535,88a8a020adfffff,Santa Cruz,2023-05-23 12:50:00,2023,5,2023-05-23
-22.937274659657884,-43.771220031074286,0.0473463125217358,88a8a020adfffff,Santa Cruz,2023-05-16 21:20:00,2023,5,2023-05-16
-22.937274659657884,-43.771220031074286,0.1864210002231472,88a8a020adfffff,Santa Cruz,2023-05-06 08:10:00,2023,5,2023-05-06
-22.937274659657884,-43.771220031074286,0.0272568603598029,88a8a020adfffff,Santa Cruz,2023-05-14 18:45:00,2023,5,2023-05-14
-22.937274659657884,-43.771220031074286,0.0201485657502855,88a8a020adfffff,Santa Cruz,2023-05-09 21:35:00,2023,5,2023-05-09
-22.937274659657884,-43.771220031074286,0.4909024885420207,88a8a020adfffff,Santa Cruz,2023-05-15 04:50:00,2023,5,2023-05-15
-22.937274659657884,-43.771220031074286,0.0255132617307068,88a8a020adfffff,Santa Cruz,2023-05-12 14:00:00,2023,5,2023-05-12
-22.937274659657884,-43.771220031074286,0.0192983968841383,88a8a020adfffff,Santa Cruz,2023-05-26 07:50:00,2023,5,2023-05-26
-22.937274659657884,-43.771220031074286,0.0273529452321828,88a8a020adfffff,Santa Cruz,2023-05-30 13:00:00,2023,5,2023-05-30
-22.937274659657884,-43.771220031074286,0.0428319463869889,88a8a020adfffff,Santa Cruz,2023-05-18 17:55:00,2023,5,2023-05-18
-22.937274659657884,-43.771220031074286,0.019954313071166,88a8a020adfffff,Santa Cruz,2023-05-23 21:20:00,2023,5,2023-05-23
-22.937274659657884,-43.771220031074286,0.0195338646116265,88a8a020adfffff,Santa Cruz,2023-05-13 12:40:00,2023,5,2023-05-13
-22.91816676443284,-43.78918138444511,0.043245826865761,88a8a020b5fffff,Santa Cruz,2023-05-25 21:45:00,2023,5,2023-05-25
-22.91816676443284,-43.78918138444511,0.0194537019434991,88a8a020b5fffff,Santa Cruz,2023-05-29 14:55:00,2023,5,2023-05-29
-22.91816676443284,-43.78918138444511,0.0192983968841383,88a8a020b5fffff,Santa Cruz,2023-05-20 08:30:00,2023,5,2023-05-20
-22.91816676443284,-43.78918138444511,0.1382667248037787,88a8a020b5fffff,Santa Cruz,2023-05-17 19:05:00,2023,5,2023-05-17
-22.91816676443284,-43.78918138444511,0.1055146601319272,88a8a020b5fffff,Santa Cruz,2023-05-07 07:10:00,2023,5,2023-05-07
-22.91816676443284,-43.78918138444511,0.0478393272898134,88a8a020b5fffff,Santa Cruz,2023-05-26 07:40:00,2023,5,2023-05-26
-22.91816676443284,-43.78918138444511,0.0315291865248425,88a8a020b5fffff,Santa Cruz,2023-05-06 13:10:00,2023,5,2023-05-06
-22.91816676443284,-43.78918138444511,0.0198484502817389,88a8a020b5fffff,Santa Cruz,2023-05-21 03:40:00,2023,5,2023-05-21
-22.91816676443284,-43.78918138444511,0.059567209931894,88a8a020b5fffff,Santa Cruz,2023-05-24 07:35:00,2023,5,2023-05-24
-22.91816676443284,-43.78918138444511,0.93722604006502,88a8a020b5fffff,Santa Cruz,2023-05-31 12:50:00,2023,5,2023-05-31
-22.91816676443284,-43.78918138444511,0.0299859338588384,88a8a020b5fffff,Santa Cruz,2023-05-09 00:10:00,2023,5,2023-05-09
-22.91816676443284,-43.78918138444511,0.4012164077664865,88a8a020b5fffff,Santa Cruz,2023-05-13 02:05:00,2023,5,2023-05-13
-22.91816676443284,-43.78918138444511,0.0255838066009211,88a8a020b5fffff,Santa Cruz,2023-05-26 14:10:00,2023,5,2023-05-26
