primary_key,id_estacao,data_medicao,altura_agua,data_particao
2_2024-03-22 16:00:00,2,2024-03-22 16:00:00,0.68,2024-03-22
2_2024-03-22 14:30:00,2,2024-03-22 14:30:00,0.68,2024-03-22
2_2024-03-22 13:15:00,2,2024-03-22 13:15:00,0.45,2024-03-22
2_2024-03-22 19:30:00,2,2024-03-22 19:30:00,0.65,2024-03-22
2_2024-03-22 16:15:00,2,2024-03-22 16:15:00,0.65,2024-03-22
2_2024-03-22 16:30:00,2,2024-03-22 16:30:00,0.62,2024-03-22
2_2024-03-22 12:30:00,2,2024-03-22 12:30:00,0.42,2024-03-22
2_2024-03-22 12:15:00,2,2024-03-22 12:15:00,0.42,2024-03-22
2_2024-03-22 12:00:00,2,2024-03-22 12:00:00,0.42,2024-03-22
2_2024-03-22 11:45:00,2,2024-03-22 11:45:00,0.42,2024-03-22
2_2024-03-22 19:15:00,2,2024-03-22 19:15:00,0.59,2024-03-22
2_2024-03-22 18:30:00,2,2024-03-22 18:30:00,0.56,2024-03-22
2_2024-03-22 18:15:00,2,2024-03-22 18:15:00,0.56,2024-03-22
2_2024-03-22 18:00:00,2,2024-03-22 18:00:00,0.56,2024-03-22
2_2024-03-22 10:30:00,2,2024-03-22 10:30:00,0.39,2024-03-22
5_2024-03-22 22:30:00,5,2024-03-22 22:30:00,0.99,2024-03-22
5_2024-03-22 22:15:00,5,2024-03-22 22:15:00,,2024-03-22
5_2024-03-22 21:30:00,5,2024-03-22 21:30:00,,2024-03-22
5_2024-03-22 20:30:00,5,2024-03-22 20:30:00,,2024-03-22
5_2024-03-22 19:30:00,5,2024-03-22 19:30:00,,2024-03-22
5_2024-03-22 19:00:00,5,2024-03-22 19:00:00,,2024-03-22
5_2024-03-22 18:30:00,5,2024-03-22 18:30:00,,2024-03-22
5_2024-03-22 17:45:00,5,2024-03-22 17:45:00,,2024-03-22
5_2024-03-22 17:15:00,5,2024-03-22 17:15:00,,2024-03-22
5_2024-03-22 16:00:00,5,2024-03-22 16:00:00,,2024-03-22
5_2024-03-22 16:15:00,5,2024-03-22 16:15:00,,2024-03-22
5_2024-03-22 14:45:00,5,2024-03-22 14:45:00,,2024-03-22
