id_ponto_supervisionado,classe,top_50,causa_alagamento,medida_cor,eliminado,endereco_ponto_supervisionado,bairro,area_planejamento,regiao_administrativa,bacia_hidrografica,sub_bacia_hidrografica,latitude,longitude,utm_x,utm_y,geometry,projeto,data_atualizacao,ano_vigencia
34,Ponto critico,,"Implantar o projeto da vala da ceasa 4-3-d-409. este curso d'agua sofre influencia do rio dos cachorros ii e no pdmap e prevista a construcao do reservatorio rc-2 de amortecimento de cheias na estrada do portinho, em frente ao ceasa (53d506).",Obra de microdrenagem,,Rio dos cachorros ii (vala da ceasa) / praca violante bivar,Iraja,3.3,XIV - Iraja,G,Rios acari/pavuna/meriti,-22.83117301,-43.33404873,670957.76976,7474204.56813,POINT(-43.33404873 -22.83117301),(Projetos 4-3-D-409  / 53D506) / Ver PDMAP,2022-01-01,2022
81,Ponto critico,,"Previsto reservatorio rio faria 1 , a montante, retardando a cheia no local.",Obra de macrodrenagem,,Rio faria - trecho 6  (rua carandai),Piedade,3.2,XIII - Meier,G,Canal do cunha,-22.90348921,-43.3110566,673225.915281,7466170.05892,POINT(-43.3110566 -22.90348921),_,2022-01-01,2022
43,Ponto critico,, adequacao hidraulica e reservatorio jacare rj-1 no engenho novo previstos no pdmap 37d011.,Obra de macrodrenagem,,Rio jacare (engenho novo),Engenho novo,3.2,XIII - Meier,G,Canal do cunha,-22.90897375,-43.2696066,677470.976226,7465513.33891,POINT(-43.2696066 -22.90897375),(PDMAP 37D011),2022-01-01,2022
153,Ponto critico,,Ha reclamacoes para esse trecho.  a galeria esta embaixo das casas.  e necessario a elaboracao de estudo para o local.,Realizar estudo,,Rio dos frangos (rua borja reis / rua eulina ribeiro e entorno),Engenho de dentro,3.2,XIII - Meier,G,Canal do cunha,-22.90417027,-43.2999276,674366.7205,7466081.49932,POINT(-43.2999276 -22.90417027),_,2022-01-01,2022
14,Ponto critico,,Estudo 43d1222 capta bacia e desagua no rio salgado. necessita de revisao em funcao de investigacoes realizadas recentemente em campo.,Obra de microdrenagem,,Rua rocha pita,Cachambi,3.2,XIII - Meier,G,Canal do cunha,-22.89053563,-43.27284046,677163.19411,7467558.95719,POINT(-43.27284046 -22.89053563),(Estudo 43D1222),2022-01-01,2022
53,Ponto critico,,"Estudo 43d051, que capta drenagem da rua lins de vasconcellos que desagua na rua hermengarda e prossegue com a mesma pelas ruas lins de vasconcellos e cabucu.",Obra de microdrenagem,,Rua hemengarda,Meier,3.2,XIII - Meier,G,Canal do cunha,-22.90377842,-43.2779202,676624.876108,7466098.64121,POINT(-43.2779202 -22.90377842),(Estudo 43D051),2022-01-01,2022
41,Ponto critico,,"Estudo 4-3-d-1312 ""canal do rio meier (substutui o projeto 3-3-d-002282) desvia curso d'agua afluente do rio meier pelos logradouros, que contempla  o ponto critico de drenagem da rua paulo silva araujo. o pdmap recomenda adequacao hidraulica n",Obra de macrodrenagem,,Rio meier (rua silva araujo),Todos os santos,3.2,XIII - Meier,G,Canal do cunha,-22.89807272,-43.28819226,675578.450853,7466742.74489,POINT(-43.28819226 -22.89807272),Ver PDMAP (Estudo 4-3-D-1312),2022-01-01,2022
55,Ponto critico,,Avaliacao do pdmap indica necessidade de adequacao hidraulica na travessia da av amaro cavalcanti. o estudo 43d667 precisa ser revisado em funcao do pdmap.,Obra de microdrenagem,,Rua francisco fragoso / rio faria,Encantado,3.2,XIII - Meier,G,Canal do cunha,-22.89697261,-43.30650544,673701.100779,7466886.29201,POINT(-43.30650544 -22.89697261),Ver PDMAP/ (revisar Estudo 43D667),2022-01-01,2022
42,Ponto critico,,O pdmap indica o nivel d'agua do rio meier acima das margens no trecho a jusante da rua dr. padilha e  recomenda a adequacao da calha do rio meier em trecho de 53 m de extensao entre a travessa. hernrique scheide e a foz. para o local existe tambg,Obra de macrodrenagem,,Rio meier (ruas cel cunha leal e teixeira bastos),Engenho de dentro,3.2,XIII - Meier,G,Canal do cunha,-22.89200353,-43.28755951,675651.181275,7467414.04851,POINT(-43.28755951 -22.89200353),Ver PDMAP (Estudo 4-3-D-0512),2022-01-01,2022
70,Ponto critico,,"Foi implantado desague da bacia da rua na av. brasil (23d1016), porem, em funcao de seu caimento, a rua pode estar recebendo aguas superficiais da est. da agua branca. necessario cadastrar rede e elaborar estudo. travessia sob av. brasil configura",Investigacao e estudo,,Rua caure,Padre miguel,5.1,XVII - Bangu,G,Rios acari/pavuna/meriti,-22.86195614,-43.44989735,659031.604048,7470925.59213,POINT(-43.44989735 -22.86195614),(Projeto 23D1016),2022-01-01,2022
